station,distance_km,time_s,amplitude
CI.CLC,5.08341,38.5805,-1.91946e+09
CI.CLC,5.08341,38.6305,-1.92014e+09
CI.CLC,5.08341,38.6805,-1.92064e+09
CI.CLC,5.08341,38.7305,-1.92068e+09
CI.CLC,5.08341,38.7805,-7.39958e+08
CI.CLC,5.08341,38.8305,-6.74422e+08
CI.CLC,5.08341,38.8805,-6.73601e+08
CI.CLC,5.08341,38.9305,1.72598e+09
CI.CLC,5.08341,38.9805,1.726e+09
CI.CLC,5.08341,39.0305,1.72608e+09
CI.CLC,5.08341,39.0805,1.72602e+09
CI.CLC,5.08341,39.1305,1.7254e+09
CI.CLC,5.08341,39.1805,1.72531e+09
CI.CLC,5.08341,39.2305,1.72497e+09
CI.CLC,5.08341,39.2805,1.72509e+09
CI.CLC,5.08341,39.3305,1.72466e+09
CI.CLC,5.08341,39.3805,1.725e+09
CI.CLC,5.08341,39.4305,1.72471e+09
CI.CLC,5.08341,39.4805,1.72491e+09
CI.CLC,5.08341,39.5305,1.72537e+09
CI.CLC,5.08341,39.5805,1.72507e+09
CI.CLC,5.08341,39.6305,1.72567e+09
CI.CLC,5.08341,39.6805,1.72651e+09
CI.CLC,5.08341,39.7305,1.72653e+09
CI.CLC,5.08341,39.7805,1.72694e+09
CI.CLC,5.08341,39.8305,1.7275e+09
CI.CLC,5.08341,39.8805,1.72742e+09
CI.CLC,5.08341,39.9305,1.72758e+09
CI.CLC,5.08341,39.9805,1.72693e+09
CI.CLC,5.08341,40.0305,1.72638e+09
CI.CLC,5.08341,40.0805,1.72613e+09
CI.CLC,5.08341,40.1305,1.72577e+09
CI.CLC,5.08341,40.1805,1.72535e+09
CI.CLC,5.08341,40.2305,1.72534e+09
CI.CLC,5.08341,40.2805,1.72543e+09
CI.CLC,5.08341,40.3305,-2.88484e+06
CI.CLC,5.08341,40.3805,-2.7102e+06
CI.CLC,5.08341,40.4305,-2.41675e+06
CI.CLC,5.08341,40.4805,-2.33255e+06
CI.CLC,5.08341,40.5305,-1.68643e+06
CI.CLC,5.08341,40.5805,-1.73098e+06
CI.CLC,5.08341,40.6305,-1.14993e+06
CI.CLC,5.08341,40.6805,-2.13813e+06
CI.CLC,5.08341,40.7305,-1.26169e+06
CI.CLC,5.08341,40.7805,-2.08459e+06
CI.CLC,5.08341,40.8305,-1.92873e+06
CI.CLC,5.08341,40.8805,-2.43815e+06
CI.CLC,5.08341,40.9305,-2.06813e+06
CI.CLC,5.08341,40.9805,-2.51531e+06
CI.CLC,5.08341,41.0305,-2.77447e+06
CI.CLC,5.08341,41.0805,-2.32565e+06
CI.CLC,5.08341,41.1305,-2.8697e+06
CI.CLC,5.08341,41.1805,-2.70374e+06
CI.CLC,5.08341,41.2305,-2.91583e+06
CI.CLC,5.08341,41.2805,-2.36354e+06
CI.CLC,5.08341,41.3305,-2.05122e+06
CI.CLC,5.08341,41.3805,-2.06412e+06
CI.CLC,5.08341,41.4305,-2.1776e+06
CI.CLC,5.08341,41.4805,-2.0555e+06
CI.CLC,5.08341,41.5305,-2.06892e+06
CI.CLC,5.08341,41.5805,-2.28231e+06
CI.CLC,5.08341,41.6305,-2.4688e+06
CI.CLC,5.08341,41.6805,-2.6866e+06
CI.CLC,5.08341,41.7305,-2.40066e+06
CI.CLC,5.08341,41.7805,-2.49321e+06
CI.CLC,5.08341,41.8305,-1.1275e+09
CI.CLC,5.08341,41.8805,-1.12769e+09
CI.CLC,5.08341,41.9305,-1.12774e+09
CI.CLC,5.08341,41.9805,-1.12772e+09
CI.CLC,5.08341,42.0305,-1.12787e+09
CI.CLC,5.08341,42.0805,-1.12812e+09
CI.CLC,5.08341,42.1305,-1.12803e+09
CI.CLC,5.08341,42.1805,-1.12796e+09
CI.CLC,5.08341,42.2305,-1.12799e+09
CI.CLC,5.08341,42.2805,-1.12787e+09
CI.CLC,5.08341,42.3305,-1.12808e+09
CI.CLC,5.08341,42.3805,-1.12828e+09
CI.CLC,5.08341,42.4305,-1.12838e+09
CI.CLC,5.08341,42.4805,-1.12845e+09
CI.CLC,5.08341,42.5305,-1.12842e+09
CI.CLC,5.08341,42.5805,-1.12822e+09
CI.CLC,5.08341,42.6305,-1.12828e+09
CI.CLC,5.08341,42.6805,-1.12807e+09
CI.CLC,5.08341,42.7305,-1.12777e+09
CI.CLC,5.08341,42.7805,-1.12789e+09
CI.CLC,5.08341,42.8305,-1.12796e+09
CI.CLC,5.08341,42.8805,-1.12788e+09
CI.CLC,5.08341,42.9305,-1.1277e+09
CI.CLC,5.08341,42.9805,-1.12766e+09
CI.CLC,5.08341,43.0305,-1.12749e+09
CI.CLC,5.08341,43.0805,-1.12802e+09
CI.CLC,5.08341,43.1305,-1.12774e+09
CI.CLC,5.08341,43.1805,-1.12756e+09
CI.CLC,5.08341,43.2305,-1.1276e+09
CI.CLC,5.08341,43.2805,-1.12769e+09
CI.CLC,5.08341,43.3305,6.43031e+07
CI.CLC,5.08341,43.3805,6.42284e+07
CI.CLC,5.08341,43.4305,6.41159e+07
CI.CLC,5.08341,43.4805,6.40859e+07
CI.CLC,5.08341,43.5305,-2.00061e+09
CI.CLC,5.08341,43.5805,-2.00064e+09
CI.CLC,5.08341,43.6305,-2.00065e+09
CI.CLC,5.08341,43.6805,-2.00071e+09
CI.CLC,5.08341,43.7305,-2.00102e+09
CI.CLC,5.08341,43.7805,-2.001e+09
CI.CLC,5.08341,43.8305,-2.00092e+09
