station,distance_km,sample,ratio
KS.BUS2,677.699,32.9195,0
KS.BUS2,677.699,33.0195,0
KS.BUS2,677.699,33.1195,0
KS.BUS2,677.699,33.2195,0
KS.BUS2,677.699,33.3195,0
KS.BUS2,677.699,33.4195,0
KS.BUS2,677.699,33.5195,0
KS.BUS2,677.699,33.6195,0
KS.BUS2,677.699,33.7195,0
KS.BUS2,677.699,33.8195,0
KS.BUS2,677.699,33.9195,0
KS.BUS2,677.699,34.0195,0
KS.BUS2,677.699,34.1195,0
KS.BUS2,677.699,34.2195,0
KS.BUS2,677.699,34.3195,0
KS.BUS2,677.699,34.4195,0
KS.BUS2,677.699,34.5195,0
KS.BUS2,677.699,34.6195,0
KS.BUS2,677.699,34.7195,0
KS.BUS2,677.699,34.8195,0
KS.BUS2,677.699,34.9195,0
KS.BUS2,677.699,35.0195,0
KS.BUS2,677.699,35.1195,0
KS.BUS2,677.699,35.2195,0
KS.BUS2,677.699,35.3195,0
KS.BUS2,677.699,35.4195,0
KS.BUS2,677.699,35.5195,0
KS.BUS2,677.699,35.6195,0
KS.BUS2,677.699,35.7195,0
KS.BUS2,677.699,35.8195,0
KS.BUS2,677.699,35.9195,0
KS.BUS2,677.699,36.0195,0
KS.BUS2,677.699,36.1195,0
KS.BUS2,677.699,36.2195,0
KS.BUS2,677.699,36.3195,0
KS.BUS2,677.699,36.4195,0
KS.BUS2,677.699,36.5195,0
KS.BUS2,677.699,36.6195,0
KS.BUS2,677.699,36.7195,0
KS.BUS2,677.699,36.8195,0
KS.BUS2,677.699,36.9195,0
KS.BUS2,677.699,37.0195,0
KS.BUS2,677.699,37.1195,0
KS.BUS2,677.699,37.2195,0
KS.BUS2,677.699,37.3195,0
KS.BUS2,677.699,37.4195,0
KS.BUS2,677.699,37.5195,0
KS.BUS2,677.699,37.6195,0
KS.BUS2,677.699,37.7195,0
KS.BUS2,677.699,37.8195,0
KS.BUS2,677.699,37.9195,0
KS.BUS2,677.699,38.0195,0
KS.BUS2,677.699,38.1195,0
KS.BUS2,677.699,38.2195,0
KS.BUS2,677.699,38.3195,0
KS.BUS2,677.699,38.4195,0
KS.BUS2,677.699,38.5195,0
KS.BUS2,677.699,38.6195,0
KS.BUS2,677.699,38.7195,0
KS.BUS2,677.699,38.8195,0
KS.BUS2,677.699,38.9195,0
KS.BUS2,677.699,39.0195,0
KS.BUS2,677.699,39.1195,0
KS.BUS2,677.699,39.2195,0
KS.BUS2,677.699,39.3195,0
KS.BUS2,677.699,39.4195,0
KS.BUS2,677.699,39.5195,0
KS.BUS2,677.699,39.6195,0
KS.BUS2,677.699,39.7195,0
KS.BUS2,677.699,39.8195,0
KS.BUS2,677.699,39.9195,0
